"IPAddress","Status","Hostname","ResponseTime","MACAddress","OpenPorts","ScanTime"
"127.0.0.1","Offline","",,"","","28/07/2026 16.01.50"
"127.0.0.2","Offline","",,"","","28/07/2026 16.01.50"
